Item,Price,Quantity,Order Total,Order Date,Month,Year,Month_Num,Day,Weekday,Is_Weekend,Avg_Price_Per_Item,High_Value_Order,Category_Drinks,Category_Main Dishes,Category_Side Dishes,Category_Starters,Payment Method_Credit Card,Payment Method_Digital Wallet
Side Salad,3.0,1.0,3.0,2023-12-21,2023-12,2023,12,21,Thursday,0,3.0,0,False,False,True,False,True,False
Mashed Potatoes,4.0,3.0,12.0,2023-05-19,2023-05,2023,5,19,Friday,0,4.0,0,False,False,True,False,False,True
Grilled Chicken,15.0,4.0,60.0,2023-09-27,2023-09,2023,9,27,Wednesday,0,15.0,0,False,True,False,False,True,False
Pasta Alfredo,12.0,4.0,48.0,2022-05-15,2022-05,2022,5,15,Sunday,1,12.0,0,False,True,False,False,False,False
Salmon,18.0,5.0,90.0,2022-07-20,2022-07,2022,7,20,Wednesday,0,18.0,0,False,True,False,False,False,True
Garlic Bread,4.0,5.0,20.0,2022-08-19,2022-08,2022,8,19,Friday,0,4.0,0,False,False,True,False,True,False
Brownie,6.0,2.0,12.0,2023-12-09,2023-12,2023,12,9,Saturday,1,6.0,0,False,False,False,False,True,False
Salmon,18.0,5.0,90.0,2023-10-30,2023-10,2023,10,30,Monday,0,18.0,0,False,True,False,False,False,False
Salmon,18.0,1.0,18.0,2023-04-11,2023-04,2023,4,11,Tuesday,0,18.0,0,False,True,False,False,False,False
Sweet Potato Fries,5.0,4.0,20.0,2023-08-18,2023-08,2023,8,18,Friday,0,5.0,0,False,False,False,True,True,False
Mashed Potatoes,4.0,3.0,12.0,2022-06-08,2022-06,2022,6,8,Wednesday,0,4.0,0,False,False,True,False,False,False
Lemonade,3.0,2.0,6.0,2022-08-28,2022-08,2022,8,28,Sunday,1,3.0,0,True,False,False,False,False,False
Grilled Chicken,15.0,3.0,45.0,2022-05-01,2022-05,2022,5,1,Sunday,1,15.0,0,False,True,False,False,False,True
Side Salad,3.0,2.0,6.0,2023-09-01,2023-09,2023,9,1,Friday,0,3.0,0,False,False,True,False,False,True
Brownie,6.0,3.0,18.0,2023-06-08,2023-06,2023,6,8,Thursday,0,6.0,0,False,False,False,False,True,False
Vegetarian Platter,14.0,4.0,56.0,2023-02-21,2023-02,2023,2,21,Tuesday,0,14.0,0,False,True,False,False,False,True
Side Salad,3.0,4.0,12.0,2023-02-01,2023-02,2023,2,1,Wednesday,0,3.0,0,False,False,True,False,True,False
Salmon,18.0,4.0,72.0,2023-05-09,2023-05,2023,5,9,Tuesday,0,18.0,0,False,True,False,False,True,False
Orange Juice,3.0,4.0,12.0,2023-09-14,2023-09,2023,9,14,Thursday,0,3.0,0,True,False,False,False,False,True
